,dhlabid,title,authors,urn,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
196,100474468,Utredning av forsøksvirksomhet med rehabiliteringssentral i Nord-Trøndelag (Friskgården),"Fjermeros , Are / Rønning , Rolf",URN:NBN:no-nb_digibok_2010050606023,oai:nb.bibsys.no:999814668004702202,73dbc2b5c932dff95cedc64d4801e8e2,,Lillehammer,19980101,1998,Østlandsforskning,nob,klingen / stod / steinkjer,,,Uklassifisert,digibok
197,100363325,"Innstilling fra utvalget for teknisk/økonomisk utredning av avtaksmuligheter for råstoff til sildolje og sildemel : Bilag til ... : bilag nr 2, 3, 4, 5, 6 og 7",,URN:NBN:no-nb_digibok_2018020609553,oai:nb.bibsys.no:999826197584702202,9bec0f537a58bafe3c4b4403c4855ad4,,[S.l.],19690101,1969,[s.n.],nob,,,,Uklassifisert,digibok
198,100317188,Innstilling fra Utvalget for utredning av spørsmålet om Norges hjelp til utviklingslandene,,URN:NBN:no-nb_digibok_2016112908020,oai:nb.bibsys.no:990301235264702202,42194ef83f83d1e8bb3b9cf4e2672ad1,,Oslo,19610101,1961,,nob,,338.91,,Faglitteratur,digibok
199,100086102,Utredning av sentra og influensområder som grunnlag for regioninndeling,,URN:NBN:no-nb_digibok_2012070408180,oai:nb.bibsys.no:999410535804702202,b1f35c6ef970a1a7a92a2028a143de8f,,,19660101,1966,Andersson & Skjånes,nob,,309.2,,Faglitteratur,digibok
200,100542359,Skjenking av øl i Forsvarets mannskapskantiner : fra et utvalg oppnevnt ved Kgl. res. av 8. sept. 1972 : utredning avgitt 5. mars 1973,"Andreassen , Edgar",URN:NBN:no-nb_digibok_2011052706023,oai:nb.bibsys.no:999404382164702202,5981ea58f7b3e06d554bcc283e9548c6,8200700771,Oslo,19730101,1973,Universitetsforl.,nob,ãđl / militã¦rtjeneste,178,,Faglitteratur,digibok
201,100186643,Yrkessykdommer : Yrkessykdomsutvalgets utredning av hvilke sykdommer som bør kunne godkjennes som yrkessykdom : utredning fra et ekspertutvalg oppnevnt ved kongelig resolusjon 16. november 2007  : avgitt til Arbeids- og inkluderingsdepartementet 24. juni 2008,"Kjuus , Helge",URN:NBN:no-nb_digibok_2014010906084,oai:nb.bibsys.no:990810879774702202,d267bcab1995b558551271af8db72397,,Oslo,20080101,2008,"Departementenes servicesenter, Informasjonsforvaltning",nob,Offentlige publikasjoner / Lover og regler / Arbeid / Posttraumatisk stressyndrom / Yrkessykdommer / x / Arbeidsmedisin / Erfaringskompetanse / arbeidsmedisin / yrkesskader / yrkessykdommer / yrkessjukdommaryrkesskadar,616.9803,,Faglitteratur,digibok
202,100161190,Notater om forskning og forskningspolitikk : en utredning av en del prinsipielle spørsmål i forbindelse med Hovedkomiteens analyse av forskningsbehov,"Hermansen , Tormod",URN:NBN:no-nb_digibok_2013073105043,oai:nb.bibsys.no:998230979784702202,2d5a5f378f3337dfe12a64a6306ad6e1,8272210010,[Oslo],19760101,1976,Hovedkomiteen for norsk forskning,nob,,001.4,,Faglitteratur,digibok
203,100096513,"Utredning av grunnvannskilde for produksjon av mineralvann, Vormstad, Orkdal kommune","Hilmo , Bernt Olav / Wolden , Odd",URN:NBN:no-nb_digibok_2012080209076,oai:nb.bibsys.no:999916117054702202,6f4a672ed04e5a172fb06d1a341d41b5,,Trondheim,19990101,1999,Norges geologiske undersøkelse,nob,,,,Uklassifisert,digibok
204,100300798,"Foreløbig indberetning fra den av Departementet for handel, sjøfart og industri under 24de mai 1907 nedsatte komite til utredning av spørsmaalet om elektrometallurgisk fremstilling av jern og staal med specielt sigte paa norske forhold",,URN:NBN:no-nb_digibok_2016070508036,oai:nb.bibsys.no:990411747634702202,f1c4243ae64514673e5471f116432f53,,Kristiania,19090101,1909,,nob,,,,Uklassifisert,digibok
205,100475029,Sentre for fremragende forskning : utredning av en norsk ordning,,URN:NBN:no-nb_digibok_2008110304007,oai:nb.bibsys.no:990012999994702202,6772d4ae70df4c43afbfedb431eb58ac,8212014789,,20000101,2000,"Norges forskningsråd, Strategi",nob,Forskning / Research / Research policies / Norway / forskning / sentre / oversikt,,,Uklassifisert,digibok
