,dhlabid,title,authors,urn,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
1988,100437978,Delutredning A : Demografi,"Samuelsen , Roar / Brastad , Bjørn",URN:NBN:no-nb_digibok_2021030248586,oai:nb.bibsys.no:990611719304702202,b7d7a42527649cca8254c65626c38adf,,Bodø,20050101,2005,Nordlandsforskning,nob,kommunesammenslåinger / storkommuner / regioner,,,Uklassifisert,digibok
1989,100539798,"Bibliotekene i 2020 : rapport fra en scenariobasert strategiprosess, en delrapport i bibliotekutredningen 2006",,URN:NBN:no-nb_digibok_2011052008029,oai:nb.bibsys.no:990520926744702202,a319d546a528a5fbc3e087d7ca834399,8281050241,,20050101,2005,ABM-utvikling,nob,Biblioteker / Strategi / Norge / 2005 - 2020 / Libraries / Information technology / Budgeting / Planning / Bibliotek / Visjoner / Bibliotekvesen / bibliotek / strategi / fremtiden / scenarier / bibliotekutviklingstrategier,027.0481,,Uklassifisert,digibok
1990,100540232,"Betydningen av kommunal klimapolitikk : virkemidler, potensial og barrierer : en utredning for Miljøverndepartementet","Vevatne , Jonas / Westskog , Hege / Hauge , Karen",URN:NBN:no-nb_digibok_2011052608085,oai:nb.bibsys.no:990521133704702202,d8151824b04cb7ea8832b55cbf24937e,,Oslo,20050101,2005,CICERO,nob,klimapolitikk / klimaendringer,,,Uklassifisert,digibok
1991,100541022,"Arenaer for profesjonell kunstformidling i Hordaland, Sogn og Fjordane og Møre og Romsdal : en utredning for Norsk kulturråd og Kultur- og kirkedepartementet","Vaagland , Jorid",URN:NBN:no-nb_digibok_2011060708023,oai:nb.bibsys.no:990514300704702202,5ceff3d03728a0acadf585d3ade1b2c4,8273565653,Lillehammer,20050101,2005,Østlandsforskning,nob,kulturarenaer / kulturformidling,,,Uklassifisert,digibok
1992,100545480,Bytog i Trondheim : vurdering av tidligere utredninger,"Tørset , Trude",URN:NBN:no-nb_digibok_2011062908041,oai:nb.bibsys.no:990521954734702202,cde683ce8a164691ecacc6a9b16295c4,8214031346,Trondheim,20050101,2005,"SINTEF, Teknologi og samfunn, Veg- og transportplanlegging",nob,transportmodell / trikk / tog / bytog,,,Uklassifisert,digibok
1993,100546317,Delutredning D : Samferdsels- og kunnskapsinfrastruktur,"Solvoll , Gisle / Løvland , Jarle / Samuelsen , Roar",URN:NBN:no-nb_digibok_2011070108102,oai:nb.bibsys.no:990611728634702202,973134e1c33f89d0aa4d54f93417fbfa,,Bodø,20050101,2005,Nordlandsforskning,nob,forskning,,,Uklassifisert,digibok
1994,100547678,Brukertilfredshetsmålinger i offentlig sektor : utredning for Moderniseringsdepartementet og regjeringens handlingsplan for modernisering,"Rolland , Asle",URN:NBN:no-nb_digibok_2011070608069,oai:nb.bibsys.no:990513043254702202,54f57f87c4f123910c372b465afa768b,,Oslo,20050101,2005,Statistisk sentralbyrå,nob,,,,Uklassifisert,digibok
1995,100549647,El-overfølsomhet : utredning om årsaker og mulige tiltak og behandlingsopplegg,"Oftedal , Gunnhild",URN:NBN:no-nb_digibok_2011071808008,oai:nb.bibsys.no:990609841044702202,bc6c79d3c844198fa5fa9e637d87e66d,8278771391,Trondheim,20050101,2005,"Høgskolen i Sør-Trøndelag, Avdeling for teknologi",nob,,,,Uklassifisert,digibok
1996,100551333,Evaluering av kommuneoverføringer som regionalpolitisk virkemiddel : utredning for Kommunal- og regionaldepartementet,"Berg , Erlend / Rattsø , Jørn",URN:NBN:no-nb_digibok_2011072808049,oai:nb.bibsys.no:990514200404702202,317677f5140b0e413764a0940374ddd2,8281500034,Trondheim,20050101,2005,Senter for økonomisk forskning,nob,,,,Uklassifisert,digibok
1997,100551775,Det Offentlige engasjement på tannhelsefeltet : et godt tilbud til de som trenger det mest : utredning fra et utvalg oppnevnt ved Kronprinsregentens resolusjon 13. mars 2004 : avgitt til Helse- og omsorgsdepartementet 16. juni 2005,"Dingsør , Endre",URN:NBN:no-nb_digibok_2011071505546,oai:nb.bibsys.no:990512110844702202,e41ca484a1212643880949eb1f763f95,8258308416,Oslo,20050101,2005,"Statens forvaltningstjeneste, Informasjonsforvaltning",nob,Public Health Dentistry / Norway / norge / tannhelse / tannhelsetjenesteloven / offentlig / tannhelsetjeneste / helseøkonomi,353.6,,Faglitteratur,digibok
1998,100551857,Kan vannkvaliteten i Vansjø bli bedre ved å endre manøvreringsreglementet? : teoretisk utredning og forslag til program for praktisk uttesting,"Skarbøvik , Eva",URN:NBN:no-nb_digibok_2011071506165,oai:nb.bibsys.no:990509456704702202,a4c207ac4cc4078c7996b0d650b03019,8257746452,Oslo,20050101,2005,Norsk institutt for vannforskning,nob,,,,Uklassifisert,digibok
1999,100553352,På rett kjøl : ny skipssikkerhetslovgivning : utredning fra Skipssikkerhetsutvalget oppnevnt ved kgl.res. 24. oktober 2003 : avgitt til Nærings- og handelsdepartementet 30. juni 2005,"Bull , Hans Jacob",URN:NBN:no-nb_digibok_2011091506015,oai:nb.bibsys.no:990514676314702202,0041132e34764659f2590ba25ccc7dc2,8258308475,Oslo,20050101,2005,"Statens forvaltningstjeneste, Informasjonsforvaltning",nob,norge / skipssikkerhet / lover / sjødyktighet,343.096,,Faglitteratur,digibok
2000,100556551,"Konsekvensutredning for Havsul IV, Eide og Averøy kommuner : tema: fiskeri og havbruksnæringen","Johnsen , Geir Helge",URN:NBN:no-nb_digibok_2012042308031,oai:nb.bibsys.no:990700708224702202,d3e1db3c4e15d662880be80725aa5cb9,8276584489,Bergen,20050101,2005,Rådgivende biologer,nob,vindmøller / alternative / energikilder / oppdrett,,,Uklassifisert,digibok
