,dhlabid,title,authors,urn,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
2874,100210541,Evaluering av finansieringssystemet for universiteter og høyskoler,,URN:NBN:no-nb_digibok_2014061206185,oai:nb.bibsys.no:990900565664702202,c282bf30ac9364ae019a40b17b8f814b,,Oslo,20080101,2008,Econ Pöyry,nob,,,,Uklassifisert,digibok
2875,100210686,Kapittel 4A - en faglig revolusjon? : evaluering av sosialtjenestelovens kapittel 4A : rettssikkerhet ved bruk av tvang og makt overfor enkelte personer med psykisk utviklingshemning,"Handegård , Tina Luther / Gjertsen , Hege",URN:NBN:no-nb_digibok_2014061308092,oai:nb.bibsys.no:990937620704702202,a38a480866cdc736bff7bbcf99533d55,,Bodø,20080101,2008,Nordlandsforskning,nob,rettssikkerhet / sosialtjenesten / norge,,,Uklassifisert,digibok
2876,100212009,Evaluering av regionale miljøprogram i jordbruket,"Brandtzæg , Bent Aslak",URN:NBN:no-nb_digibok_2014063008122,oai:nb.bibsys.no:990823902234702202,27af87919e5032d5f25610189feb27fa,,Trondheim,20080101,2008,Norsk senter for bygdeforskning,nob,Norway / Project evaluation / Regional planning / Environment / Agriculture / Landbruk / miljø / evaluering,,,Uklassifisert,digibok
2877,100215745,Evaluering av bruk av skilt ved bilbeltekontroller,"Erke , Alena / Vaa , Truls",URN:NBN:no-nb_digibok_2014070206044,oai:nb.bibsys.no:990809253914702202,fda4de595d8f2212a70378531d1cadb4,,Oslo,20080101,2008,Transportøkonomisk institutt,nob,,,,Uklassifisert,digibok
2878,100216795,Hager i skiftende landskap : evaluering av SIVAs næringshagesatsing,"Ringholm , Toril",URN:NBN:no-nb_digibok_2014070405060,oai:nb.bibsys.no:990829177874702202,0d2006fa6cfdadab097b7f8fd6664339,,Tromsø,20080101,2008,Norut Tromsø,nob,,658.11,,Faglitteratur,digibok
2879,100217815,Små ressurser - store utfordringer : evaluering av MABIT-programmet,"Borlaug , Siri Brorstad / Spilling , Olav R. / Foss , Lene",URN:NBN:no-nb_digibok_2014070805042,oai:nb.bibsys.no:990803306574702202,665a6f2c6caa2134f8b038dd3df1086b,,Oslo,20080101,2008,NIFU STEP,nob,,660.6,,Faglitteratur,digibok
2880,100218813,En evaluering av rådgivningsprosjektet Blinken,"Stornes , Ole Kristian",URN:NBN:no-nb_digibok_2014071005016,oai:nb.bibsys.no:990806138704702202,9164f86a80651aeb3658ff7872820434,,Oslo,20080101,2008,"NILF, Norsk institutt for landbruksøkonomisk forskning",nob,"Norway / Milk production / Arctic region / Project evaluation / Farm management / Dairy farms / Farmers / Extension activites / melkebonde, / melkeprodusent / melkeproduksjon / landbruksøkonomi",,,Uklassifisert,digibok
2881,100223669,"Evaluering av forsøket med nye samarbeidsformer mellom forskning, utdanning, praksis og brukere - Høgskole- og  universitetssosialkontor (HUSK)","Fylling , Ingrid / Bliksvær , Trond / Lien , Lise / Gjernes , Trude",URN:NBN:no-nb_digibok_2014080806055,oai:nb.bibsys.no:990901601504702202,e59b2e3ddddc67929490139bc5016b2a,,Bodø,20080101,2008,Nordlandsforskning,nob,,,,Uklassifisert,digibok
2882,100223687,Forbrukertilfredshet 2008 : forbrukernes evaluering av 40 bransjer i Norge,"Berg , Lisbet",URN:NBN:no-nb_digibok_2014080806102,oai:nb.bibsys.no:990823165544702202,98e54f7b9e323da8b43f5b91a981ae3c,,Oslo,20080101,2008,SIFO,nob,,,,Uklassifisert,digibok
2883,100241795,"Brukerbasert evaluering av det kommunale tjenestetilbudet for barn og unge med psykiske vansker, 2004-2007 : evaluering av Opptrappingsplanen for psykisk helse","Sitter , Marit",URN:NBN:no-nb_digibok_2015020406020,oai:nb.bibsys.no:990809551424702202,02ec8a438d6c8f32f8d59caa62ad6063,,Trondheim,20080101,2008,SINTEF Helse,nob,"psykisk / helsesarbeid, / barn / unge, / brukertilfredshet",,,Uklassifisert,digibok
2884,100245658,Evaluering av bruk av midler avsatt i hovedtariffoppgjøret 2006 til felles opplæring og utviklingstiltak for ledelsen og tillitsvalgte i samarbeidskompetanse og medbestemmelse,"Vik , Gudrun",URN:NBN:no-nb_digibok_2015041508177,oai:nb.bibsys.no:990823434704702202,750b0419d1d6d98c25cc6c23b2181744,,Oslo,20080101,2008,Direktoratet for forvaltning og IKT,nob,,,,Uklassifisert,digibok
2885,100249598,Fra tospråklig lærerassistent til tospråklig faglærer : evaluering av faglærerutdanningen for tospråklige,"Valenta , Marko / Berg , Berit",URN:NBN:no-nb_digibok_2015051308264,oai:nb.bibsys.no:990827505804702202,fe4924f5a8896308b86153801ccc4a8d,,[Trondheim],20080101,2008,NTNU samfunnsforskning,nob,tospråklighet / bilingualisme / lærere / utdanning / faglærere / lærerassistenter / flerkulturell / pedagogikk,370.71 / 370.711,,Faglitteratur,digibok
2886,100249726,Evaluering av ordningen med bruk av AutoPASS brikker som identifikatorer til parkering og adgangskontroll,"Øvstedal , Liv / Foss , Trond",URN:NBN:no-nb_digibok_2015051908159,oai:nb.bibsys.no:990919759644702202,9b3338c6668a8d3eeadea9106733c995,,Trondheim,20080101,2008,"SINTEF, Teknologi og samfunn, Veg- og transportplanlegging",nob,AutoPASS / Parkering / Adgangskontroll,,,Uklassifisert,digibok
2887,100257942,Evaluering av ingeniørutdanningen i Norge 2008. D. 2 : Institusjonsrapporter,,URN:NBN:no-nb_digibok_2015070208183,oai:nb.bibsys.no:990827586894702202,c1b4d9ca2ab1834a9e54bed2abfa282f,,,20080101,2008,"NOKUT, Nasjonalt organ for kvalitet i utdanningen",mul / nob / nno,Ingeniører / Utdanning / høyere / utdanning,620.00711,,Faglitteratur,digibok
2888,100258782,Innføring av digitalkino i Norge : evaluering av del 2 av de digitale forsøksprosjektene NDA og NORDIC : sluttrapport,"Solum , Nils Henrik / Bugge , Markus",URN:NBN:no-nb_digibok_2015070208137,oai:nb.bibsys.no:990829076684702202,6bb792e4772de6bf1f1eb14fb74407ca,,Oslo,20080101,2008,NIFU STEP,nob,Evaluering / kinoer,384.84,,Faglitteratur,digibok
2889,100268785,Evaluering av hjemmebaserte tiltak i barnevernet : med Årstad familiesenter som case,"Christiansen , Øivin / Moldestad , Bente",URN:NBN:no-nb_digibok_2015102208312,oai:nb.bibsys.no:990802663714702202,537b07837d9958b4957085f1cd0a19d3,,Bergen,20080101,2008,Barnevernets utviklingssenter på Vestlandet,nob,barnevern / casestudie / familieterapi / evalueringsverktøy / samspill / barn / foreldrerollen / atferdsvansker / morsrollen / familiar / rådgjeving / rettleiing / barnevernstenester / tiltak / familiesenterbarnevernstiltak,362.8286 / 362.7,,Faglitteratur,digibok
